Date,Customer ID,Product ID,Quantity
2014-01-03,885,228,7
2014-01-03,827,170,11
2014-01-03,932,212,6
2014-01-03,925,237,11
2014-01-03,940,386,12
2014-01-03,1076,190,9
2014-01-03,1184,150,9
2014-01-03,956,254,12
2014-01-03,966,161,11
2014-01-03,895,276,13
2014-01-03,1013,171,1
2014-01-03,960,140,5
2014-01-03,1010,346,4
2014-01-04,1073,274,2
2014-01-04,1071,332,11
2014-01-04,882,274,11
2014-01-04,1183,115,5
2014-01-04,852,450,1
2014-01-04,1158,221,14
2014-01-04,1078,406,1
2014-01-04,1151,109,10
2014-01-04,981,340,10
2014-01-04,1147,369,8
2014-01-05,855,105,12
2014-01-05,1058,406,12
2014-01-05,995,218,8
2014-01-05,1181,395,3
2014-01-05,813,276,5
2014-01-05,998,395,3
2014-01-06,1133,411,10
2014-01-06,1107,455,2
2014-01-06,944,212,10
2014-01-06,1114,238,12
2014-01-06,840,444,2
2014-01-06,867,99,3
2014-01-06,1070,406,1
2014-01-06,885,424,13
2014-01-06,838,344,7
2014-01-06,1012,491,4
2014-01-06,1012,507,2
2014-01-07,1138,96,6
2014-01-07,836,270,7
2014-01-07,1166,329,13
2014-01-07,853,359,3
2014-01-07,1152,326,8
2014-01-07,915,473,7
2014-01-07,975,319,8
2014-01-07,974,476,1
2014-01-08,878,398,11
2014-01-08,875,204,6
2014-01-08,1039,328,6
2014-01-08,847,150,14
2014-01-08,973,339,8
2014-01-08,891,201,12
2014-01-08,1133,213,6
2014-01-09,1062,203,1
2014-01-09,1173,274,3
2014-01-09,854,186,12
2014-01-09,1189,435,3
2014-01-09,1137,480,5
2014-01-09,915,127,3
2014-01-10,901,272,8
2014-01-10,905,343,13
2014-01-10,963,261,4
2014-01-11,821,481,7
2014-01-11,956,297,14
2014-01-11,967,466,11
2014-01-11,826,251,4
2014-01-12,1089,376,4
2014-01-12,888,390,12
2014-01-12,1123,170,6
2014-01-12,931,164,10
2014-01-13,827,212,7
2014-01-13,834,311,6
2014-01-13,1087,333,9
2014-01-13,911,325,4
2014-01-13,1169,434,10
2014-01-13,1008,126,12
2014-01-13,981,263,13
2014-01-13,811,353,7
2014-01-13,1112,322,7
2014-01-13,886,246,7
2014-01-13,1186,234,6
2014-01-13,1345,192,6
2014-01-14,987,199,4
2014-01-15,1041,195,11
2014-01-15,904,131,4
2014-01-15,1007,137,9
2014-01-15,1146,215,3
2014-01-15,809,147,8
2014-01-15,1127,205,5
2014-01-16,1023,299,7
2014-01-16,857,256,5
2014-01-16,881,217,12
2014-01-16,1010,463,10
2014-01-16,987,245,6
2014-01-16,869,105,6
2014-01-16,999,317,8
2014-01-16,1124,352,14
2014-01-16,945,493,3
2014-01-17,1018,252,14
2014-01-17,829,109,3
2014-01-17,969,286,5
2014-01-17,1019,163,3
2014-01-17,1149,417,3
2014-01-17,853,275,5
2014-01-17,1119,432,14
2014-01-17,865,176,11
2014-01-18,868,256,3
2014-01-18,1023,269,3
2014-01-18,850,199,12
2014-01-18,845,282,9
2014-01-18,1188,366,5
2014-01-18,1051,201,7
2014-01-19,881,488,10
2014-01-19,1143,191,14
2014-01-19,850,368,13
2014-01-19,920,117,6
2014-01-20,1108,453,5
2014-01-20,1183,219,14
2014-01-20,962,430,1
2014-01-20,802,367,5
2014-01-20,1107,485,9
2014-01-20,1001,417,3
2014-01-20,1003,213,1
2014-01-20,848,205,8
2014-01-20,828,187,9
2014-01-20,845,148,12
2014-01-20,868,478,14
2014-01-20,968,352,7
2014-01-21,1167,369,2
2014-01-21,1172,426,1
2014-01-21,888,435,11
2014-01-21,1101,259,11
2014-01-21,875,192,7
2014-01-21,1133,344,2
2014-01-21,1091,390,3
2014-01-21,808,372,12
2014-01-22,839,492,9
2014-01-22,1090,178,3
2014-01-22,1190,146,5
2014-01-22,900,308,9
2014-01-22,805,345,14
2014-01-22,980,216,5
2014-01-22,829,475,4
2014-01-22,865,345,3
2014-01-22,863,314,9
2014-01-22,870,289,8
2014-01-22,907,415,12
2014-01-22,969,413,8
2014-01-23,874,207,1
2014-01-23,1070,355,8
2014-01-23,1013,310,8
2014-01-23,857,104,12
2014-01-23,974,104,11
2014-01-24,887,319,13
2014-01-24,838,375,5
2014-01-24,957,168,12
2014-01-24,1108,168,12
2014-01-24,1079,314,5
2014-01-24,837,398,5
2014-01-24,1144,289,14
2014-01-25,1022,476,4
2014-01-25,978,327,7
2014-01-25,955,109,8
2014-01-25,824,447,2
2014-01-25,802,470,9
2014-01-25,1068,353,1
2014-01-25,1104,452,12
2014-01-25,964,324,1
2014-01-25,939,357,11
2014-01-25,873,210,2
2014-01-25,987,261,10
2014-01-26,907,455,5
2014-01-26,1038,243,8
2014-01-26,1051,457,11
2014-01-26,950,432,1
2014-01-26,892,265,2
2014-01-26,1007,498,13
2014-01-26,1007,397,2
2014-01-27,916,199,13
2014-01-27,1035,430,14
2014-01-27,1144,225,1
2014-01-27,913,256,12
2014-01-27,814,256,1
2014-01-27,940,431,3
2014-01-27,999,426,13
2014-01-28,937,396,7
2014-01-28,1033,128,14
2014-01-28,1177,381,4
2014-01-28,1182,492,14
2014-01-28,904,213,13
2014-01-28,1030,310,4
2014-01-28,909,114,8
2014-01-28,884,143,7
2014-01-28,812,465,8
2014-01-28,1122,97,10
2014-01-28,1070,171,4
2014-01-29,1056,123,10
2014-01-29,1054,147,2
2014-01-29,905,471,2
2014-01-29,1089,410,9
2014-01-29,1183,356,12
2014-01-30,1165,112,3
2014-01-30,1072,269,12
2014-01-30,985,298,13
2014-01-31,882,248,11
2014-01-31,933,271,14
2014-01-31,1045,442,8
2014-01-31,1004,111,14
2014-01-31,816,451,7
2014-01-31,1091,122,14
2014-02-01,1031,400,11
2014-02-01,832,204,1
2014-02-01,1339,132,6
2014-02-02,1081,119,13
2014-02-02,1191,217,14
2014-02-02,1092,235,12
2014-02-02,886,254,9
2014-02-02,1140,313,12
2014-02-02,1280,438,5
